Time,Capacity
2021-06-13 19:25:05,15
2021-06-13 19:30:04,16
2021-06-13 19:35:06,15
2021-06-13 19:40:07,15
2021-06-13 19:45:07,15
2021-06-13 19:50:06,15
2021-06-13 19:55:08,15
2021-06-13 20:00:10,15
2021-06-13 20:05:08,16
2021-06-13 20:10:09,15
2021-06-13 20:15:08,15
2021-06-13 20:20:14,15
2021-06-13 20:25:12,14
2021-06-13 20:30:17,14
2021-06-13 20:35:14,15
2021-06-13 20:40:12,12
2021-06-13 20:45:13,12
2021-06-13 20:50:13,11
2021-06-13 20:55:14,10
2021-06-13 21:00:17,10
2021-06-13 21:05:10,10
2021-06-13 21:10:04,9
2021-06-13 21:15:02,10
2021-06-13 21:20:02,11
2021-06-13 21:25:04,11
2021-06-13 21:30:17,10
2021-06-13 21:35:07,10
2021-06-13 21:40:06,10
2021-06-13 21:45:06,9
2021-06-13 21:50:08,10
2021-06-13 21:55:06,9
2021-06-13 22:00:05,9
2021-06-13 22:05:05,9
2021-06-13 22:10:07,10
2021-06-13 22:15:07,12
2021-06-13 22:20:04,12
2021-06-13 22:25:06,13
2021-06-13 22:30:04,12
2021-06-13 22:35:10,10
2021-06-13 22:40:08,10
2021-06-13 22:45:06,10
2021-06-13 22:50:05,11
2021-06-13 22:55:12,12
2021-06-13 23:00:05,12
2021-06-13 23:05:06,12
2021-06-13 23:10:04,9
2021-06-13 23:15:05,9
2021-06-13 23:20:04,8
2021-06-13 23:25:05,8
2021-06-13 23:30:04,8
2021-06-13 23:35:05,8
2021-06-13 23:40:07,8
2021-06-13 23:45:03,7
2021-06-13 23:50:04,7
2021-06-13 23:55:05,5
2021-06-14 0:00:06,5
2021-06-14 0:05:04,4
2021-06-14 0:10:04,4
2021-06-14 0:15:03,4
2021-06-14 0:20:05,4
2021-06-14 0:25:05,4
2021-06-14 0:30:04,3
2021-06-14 0:35:06,4
2021-06-14 0:40:09,4
2021-06-14 0:45:06,4
2021-06-14 0:50:05,4
2021-06-14 0:55:05,4
2021-06-14 1:00:08,5
2021-06-14 1:05:08,4
2021-06-14 1:10:07,4
2021-06-14 1:15:07,4
2021-06-14 1:20:05,4
2021-06-14 1:25:05,4
2021-06-14 1:30:04,4
2021-06-14 1:35:08,4
2021-06-14 1:40:08,4
2021-06-14 1:45:06,3
2021-06-14 1:50:05,3
2021-06-14 1:55:06,3
2021-06-14 2:00:04,3
2021-06-14 2:05:05,3
2021-06-14 2:10:07,3
2021-06-14 2:15:05,3
2021-06-14 2:20:06,3
2021-06-14 2:25:06,3
2021-06-14 2:30:06,3
2021-06-14 2:35:08,3
2021-06-14 2:40:05,3
2021-06-14 2:45:02,3
2021-06-14 2:50:05,3
2021-06-14 2:55:02,2
2021-06-14 3:00:04,1
2021-06-14 3:05:08,1
2021-06-14 3:10:05,1
2021-06-14 3:15:04,1
2021-06-14 3:20:05,1
2021-06-14 3:25:05,1
2021-06-14 3:30:08,1
2021-06-14 3:35:08,1
2021-06-14 3:40:07,1
2021-06-14 3:45:04,1
2021-06-14 3:50:04,2
